CancerHallmark,GeneSet,Origin,Genes
Activating_invasion_and_metastasis,EMT,MsigDB,NNMT
Activating_invasion_and_metastasis,EMT,MsigDB,COL4A1
Activating_invasion_and_metastasis,EMT,MsigDB,SNAI2
Activating_invasion_and_metastasis,EMT,MsigDB,FBN1
Activating_invasion_and_metastasis,EMT,MsigDB,CTGF
Activating_invasion_and_metastasis,EMT,MsigDB,FSTL1
Activating_invasion_and_metastasis,EMT,MsigDB,FN1
Activating_invasion_and_metastasis,EMT,MsigDB,HTRA1
Activating_invasion_and_metastasis,EMT_REGULATORS,ACSN,ITGAV
Activating_invasion_and_metastasis,EMT_REGULATORS,ACSN,COL5A1
Activating_invasion_and_metastasis,EMT,Expert,ZEB1
Activating_invasion_and_metastasis,EMT,Expert,CDH1
Activating_invasion_and_metastasis,EMT,Expert,ZEB2
Genome_instability_and_mutation,DNA_repair,MsigDB,POLR2F
Genome_instability_and_mutation,DNA_repair,MsigDB,POLR2E
Genome_instability_and_mutation,DNA_repair,MsigDB,RFC5
Genome_instability_and_mutation,DNA_repair,MsigDB,CLP1
Genome_instability_and_mutation,DNA_repair,MsigDB,SF3A3
Genome_instability_and_mutation,DNA_repair,MsigDB,DUT
Genome_instability_and_mutation,DNA_repair,MsigDB,POLD1
Genome_instability_and_mutation,DNA_repair,ACSN,POLQ
Genome_instability_and_mutation,DNA_repair,ACSN,FEN1
Genome_instability_and_mutation,DNA_repair,ACSN,LIG1
Genome_instability_and_mutation,DNA_repair,ACSN,PMS1
Genome_instability_and_mutation,DNA_repair,Expert,DDB2
Genome_instability_and_mutation,DNA_repair,Expert,XPC
Deregulating_cellular_energetics,Glycolysis,MsigDB,PYGL
Deregulating_cellular_energetics,Glycolysis,MsigDB,PYGB
Deregulating_cellular_energetics,Glycolysis,MsigDB,SLC16A3
Deregulating_cellular_energetics,Glycolysis,MsigDB,IL13RA1
Deregulating_cellular_energetics,Glycolysis,MsigDB,AGRN
Deregulating_cellular_energetics,Glycolysis,MsigDB,EXT1
Deregulating_cellular_energetics,Glycolysis,Expert,HK2
Deregulating_cellular_energetics,Glycolysis,Expert,PFKM
Deregulating_cellular_energetics,Glycolysis,Expert,LDHA
,MYC_targets,MsigDB,PUS1
,MYC_targets,MsigDB,DCTPP1
,MYC_targets,MsigDB,GNL3
,MYC_targets,MsigDB,TCOF1
,MYC_targets,MsigDB,BYSL
Housekeeping_genes,Housekeeping,Analysis,HNRNPK
Housekeeping_genes,Housekeeping,Analysis,TIAL1
Housekeeping_genes,Housekeeping,Analysis,CIAO1
Housekeeping_genes,Housekeeping,Analysis,RAB1A
Housekeeping_genes,Housekeeping,Analysis,FAM175B
Housekeeping_genes,Housekeeping,Analysis,CNOT4
Housekeeping_genes,Housekeeping,Analysis,UBE2D3
Housekeeping_genes,Housekeeping,Analysis,YTHDC1
